tipo, hambre, cansancio, restaurante, celebracion, comido_platano, estacion, postre
cena, 1, 1, 0, 1, 0, v, plátano 
comida, 1, 2, 0, 0, 0, i, plátano 
cena, 1, 0, 0, 0, 1, o, mandarina
cena, 2, 0, 0, 0, 1, o, mandarina
comida, 1, 1, 0, 1, 1, o, mandarina
comida, 2, 0, 0, 0, 1, o, mandarina
comida, 0, 1, 0, 0, 1, o, mandarina
comida, 1, 1, 0, 0, 1, o, mandarina
comida, 2, 1, 0, 0, 1, o, mandarina
comida, 2, 0, 0, 0, 1, o, mandarina
comida, 1, 1, 0, 0, 1, o, mandarina
comida, 1, 0, 0, 0, 1, o, mandarina
comida, 2, 1, 0, 0, 1, o, mandarina
comida, 1, 0, 0, 0, 1, i, mandarina
comida, 2, 0, 0, 0, 1, i, mandarina
comida, 1, 1, 0, 1, 1, i, mandarina
comida, 2, 0, 0, 0, 1, i, mandarina
comida, 1, 1, 0, 1, 1, i, mandarina
cena, 1, 1, 0, 0, 1, i, mandarina
cena, 2, 0, 0, 0, 1, i, mandarina
cena, 1, 1, 0, 0, 1, i, mandarina
cena, 2, 0, 0, 0, 1, i, mandarina
cena, 2, 1, 0, 1, 1, i, mandarina
cena, 1, 1, 0, 0, 1, i, mandarina
cena, 2, 1, 0, 0, 1, i, mandarina
cena, 0, 1, 0, 0, 1, o, mandarina
cena, 1, 1, 0, 0, 1, o, mandarina
cena, 2, 1, 0, 0, 1, o, mandarina
cena, 1, 0, 0, 0, 1, i, mandarina
cena, 2, 0, 0, 0, 1, i, mandarina
cena, 1, 1, 0, 1, 1, i, mandarina
cena, 2, 0, 0, 0, 1, i, mandarina
cena, 1, 1, 0, 1, 1, i, mandarina
cena, 1, 1, 0, 0, 1, i, mandarina
cena, 2, 0, 0, 0, 1, p, mandarina
cena, 1, 1, 0, 0, 1, p, mandarina
comida, 0, 1, 0, 0, 1, v, yogur 
comida, 0, 0, 0, 0, 1, o, yogur
comida, 0, 1, 0, 1, 1, i, yogur
comida, 0, 0, 0, 0, 1, o, yogur
comida, 0, 1, 0, 1, 1, i, yogur
comida, 0, 0, 0, 0, 1, o, yogur
comida, 0, 1, 0, 1, 1, i, yogur
comida, 0, 1, 0, 0, 1, p, yogur
comida, 0, 0, 0, 0, 1, v, yogur
comida, 0, 1, 0, 0, 1, o, yogur
comida, 1, 0, 0, 0, 1, i, yogur
comida, 0, 0, 0, 0, 1, o, yogur
comida, 1, 0, 0, 0, 1, i, yogur
comida, 0, 1, 0, 0, 1, o, yogur
comida, 1, 0, 0, 0, 1, i, yogur
comida, 1, 1, 0, 0, 1, p, yogur
comida, 1, 0, 0, 0, 1, v, yogur
comida, 1, 0, 0, 0, 1, o, yogur
comida, 0, 1, 0, 1, 1, i, yogur
comida, 1, 0, 0, 0, 1, o, yogur
comida, 0, 1, 0, 1, 1, i, yogur
comida, 1, 1, 0, 1, 1, v, yogur
cena, 0, 1, 0, 0, 1, v, yogur 
cena, 0, 0, 0, 0, 1, o, yogur
cena, 0, 1, 0, 1, 1, i, yogur
cena, 0, 0, 0, 0, 1, o, yogur
cena, 0, 1, 0, 1, 1, i, yogur
cena, 0, 1, 0, 0, 1, p, yogur
cena, 0, 0, 0, 0, 1, v, yogur
cena, 0, 0, 0, 0, 1, o, yogur
cena, 1, 0, 0, 0, 1, i, yogur
cena, 0, 1, 0, 0, 1, o, yogur
cena, 1, 0, 0, 0, 1, i, yogur
cena, 0, 1, 0, 0, 1, o, yogur
cena, 1, 0, 0, 0, 1, i, yogur
cena, 1, 0, 0, 0, 1, v, yogur
cena, 1, 1, 0, 0, 1, o, yogur
cena, 0, 1, 0, 1, 1, i, yogur
cena, 1, 0, 0, 0, 1, o, yogur
cena, 0, 1, 0, 1, 1, i, yogur
cena, 1, 0, 0, 0, 1, o, yogur
cena, 0, 1, 0, 1, 1, i, yogur
cena, 1, 1, 0, 1, 1, v, yogur
comida, 1, 1, 0, 0, 1, v, ciruela
comida, 2, 2, 0, 0, 1, v, ciruela
comida, 1, 0, 0, 0, 1, v, ciruela
comida, 0, 0, 0, 0, 1, v, ciruela
comida, 1, 1, 0, 0, 1, v, ciruela
cena, 2, 2, 0, 0, 1, v, ciruela
cena, 1, 1, 0, 0, 1, v, ciruela
cena, 2, 1, 0, 1, 1, v, ciruela
cena, 1, 1, 0, 0, 1, v, ciruela 
comida, 1, 0, 0, 0, 1, o, ciruela 
comida, 1, 1, 0, 0, 1, o, ciruela 
comida, 2, 1, 0, 0, 1, o, ciruela
comida, 2, 0, 0, 0, 1, o, ciruela
comida, 1, 2, 0, 0, 1, o, ciruela
cena, 2, 0, 0, 1, 1, o, ciruela
cena, 2, 1, 0, 0, 1, o, ciruela
cena, 2, 0, 0, 0, 1, p, manzana
cena, 1, 0, 0, 0, 1, p, manzana
cena, 1, 1, 0, 1, 1, p, manzana
cena, 1, 0, 0, 0, 1, p, manzana
cena, 2, 0, 0, 0, 1, v, manzana
cena, 1, 0, 0, 0, 1, v, manzana
cena, 1, 0, 0, 0, 1, v, manzana
cena, 1, 1, 0, 0, 1, v, manzana 
cena, 2, 1, 0, 0, 1, v, manzana 
cena, 1, 2, 0, 0, 1, v, manzana
cena, 1, 1, 0, 1, 1, v, manzana
cena, 2, 0, 0, 0, 1, o, manzana
cena, 1, 0, 0, 0, 1, o, manzana
cena, 2, 1, 0, 0, 1, o, manzana
cena, 1, 0, 0, 0, 1, o, manzana
cena, 2, 1, 0, 0, 1, o, manzana
